district	population	province
braniewski             	40776	Woj. Warmińsko-mazurskie           
działdowski            	64768	Woj. Warmińsko-mazurskie           
elbląski               	56986	Woj. Warmińsko-mazurskie           
ełcki                  	91395	Woj. Warmińsko-mazurskie           
giżycki                	56227	Woj. Warmińsko-mazurskie           
gołdapski              	26489	Woj. Warmińsko-mazurskie           
iławski                	92644	Woj. Warmińsko-mazurskie           
kętrzyński             	61772	Woj. Warmińsko-mazurskie           
lidzbarski             	40852	Woj. Warmińsko-mazurskie           
mrągowski              	49439	Woj. Warmińsko-mazurskie           
nidzicki               	32638	Woj. Warmińsko-mazurskie           
nowomiejski            	43721	Woj. Warmińsko-mazurskie           
olecki                 	33993	Woj. Warmińsko-mazurskie           
olsztyński             	127544	Woj. Warmińsko-mazurskie           
ostródzki              	103492	Woj. Warmińsko-mazurskie           
piski                  	55833	Woj. Warmińsko-mazurskie           
szczycieński           	69089	Woj. Warmińsko-mazurskie           
węgorzewski            	22444	Woj. Warmińsko-mazurskie           
M.Elbląg                      	118582	Woj. Warmińsko-mazurskie           
M.Olsztyn                     	171249	Woj. Warmińsko-mazurskie           
Woj. Wielkopolskie                 	3496450	Woj. Wielkopolskie                 
chodzieski             	46824	Woj. Wielkopolskie                 
czarnkowsko-trzcianecki	86590	Woj. Wielkopolskie                 
gnieźnieński           	145068	Woj. Wielkopolskie                 
gostyński              	75732	Woj. Wielkopolskie                 
grodziski              	51929	Woj. Wielkopolskie                 
jarociński             	71425	Woj. Wielkopolskie                 
kaliski                	82911	Woj. Wielkopolskie                 
kępiński               	56298	Woj. Wielkopolskie                 
kolski                 	86108	Woj. Wielkopolskie                 
koniński               	129904	Woj. Wielkopolskie                 
kościański             	78866	Woj. Wielkopolskie                 
krotoszyński           	76998	Woj. Wielkopolskie                 
leszczyński            	57911	Woj. Wielkopolskie                 
międzychodzki          	36633	Woj. Wielkopolskie                 
nowotomyski            	75576	Woj. Wielkopolskie                 
obornicki              	59821	Woj. Wielkopolskie                 
ostrowski              	161357	Woj. Wielkopolskie                 
ostrzeszowski          	55265	Woj. Wielkopolskie                 
pilski                 	135477	Woj. Wielkopolskie                 
pleszewski             	62763	Woj. Wielkopolskie                 
poznański              	406590	Woj. Wielkopolskie                 
rawicki                	60188	Woj. Wielkopolskie                 
słupecki               	58959	Woj. Wielkopolskie                 
szamotulski            	91745	Woj. Wielkopolskie                 
średzki                	59149	Woj. Wielkopolskie                 
śremski                	61492	Woj. Wielkopolskie                 
turecki                	83599	Woj. Wielkopolskie                 
wągrowiecki            	70096	Woj. Wielkopolskie                 
wolsztyński            	57431	Woj. Wielkopolskie                 
wrzesiński             	78037	Woj. Wielkopolskie                 
złotowski              	69161	Woj. Wielkopolskie                 
M.Kalisz                      	99106	Woj. Wielkopolskie                 
M.Konin                       	72539	Woj. Wielkopolskie                 
M.Leszno                      	62854	Woj. Wielkopolskie                 
M.Poznań                      	532048	Woj. Wielkopolskie                 
Woj. Zachodniopomorskie            	1688047	Woj. Zachodniopomorskie            
białogardzki           	47304	Woj. Zachodniopomorskie            
choszczeński           	47970	Woj. Zachodniopomorskie            
drawski                	56482	Woj. Zachodniopomorskie            
goleniowski            	82310	Woj. Zachodniopomorskie            
gryficki               	59844	Woj. Zachodniopomorskie            
gryfiński              	81289	Woj. Zachodniopomorskie            
kamieński              	46692	Woj. Zachodniopomorskie            
kołobrzeski            	79300	Woj. Zachodniopomorskie            
koszaliński            	66505	Woj. Zachodniopomorskie            
łobeski                	36486	Woj. Zachodniopomorskie            
myśliborski            	65373	Woj. Zachodniopomorskie            
policki                	81584	Woj. Zachodniopomorskie            
pyrzycki               	39202	Woj. Zachodniopomorskie            
sławieński             	55777	Woj. Zachodniopomorskie            
stargardzki            	120132	Woj. Zachodniopomorskie            
szczecinecki           	77258	Woj. Zachodniopomorskie            
świdwiński             	46394	Woj. Zachodniopomorskie            
wałecki                	52707	Woj. Zachodniopomorskie            
M.Koszalin                    	106235	Woj. Zachodniopomorskie            
M.Szczecin                    	398255	Woj. Zachodniopomorskie            
M.Świnoujście                 	40948	Woj. Zachodniopomorskie            
